923.148,Ly 923
926.249,Ly 926
930.751,Ly 930
937.814,Ly 937
949.742,Ly delta 949
972.517,Ly gamma 972
1025.728,Ly beta 1025
1215.6701,Ly alpha 1216
1640.42,HeII 1640
1661.241,OIII]1661
1666.15,OIII]1666
1812.205,[NeIII]1815
1854.716,[AlIII] 1855
1862.7895,[AlIII] 1863
1906.68,[CIII]
1908.73,[CIII]
2142.3,NII]2141
2321.664,[OIII]2321
2324.21,CII]2326
2325.4,CII]2326
2326.11,CII]2326
2327.64,CII]2326
2328.83,CII]2326
2471.088,[OII]2471
2661.146,[AlII] 2660
2669.951,[AlII] 2670
2796.352,MgII 2800
2803.53,MgII 2800
3109.98,[ArIII]3110
3343.5,[NeIII]3343
3722.75,[SIII]3723
3727.1,[OII]3726
3729.86,[OII]3729
3798.987,H 3798
3836.485,H 3835
3869.86,[NeIII]3870
3889.75,HeI 3889
3890.166,H 3889
3968.59,[NeIII]3968
3971.198,H 3970
4069.75,[SII]4070
4077.5,[SII]4078
4102.892,H delta 4102
4341.692,H gamma 4340
4364.435,[OIII]4364
4472.735,HeI 4472
4622.864,[CI]4621
4725.47,[NeIV]4720
4862.71,H beta 4861
4960.295,[OIII]4960
5008.24,[OIII]5007
5193.27,[ArIII]5193
5201.705,[NI]5200
5519.242,[ClIII]5518
5539.411,[ClIII] 5538
5578.89,[OI]5578
5756.19,[NII]5756
5877.249,HeI 5877
6302.046,[OI]6302
6313.81,[SIII]6314
6365.535,[OI]6365
6549.86,[NII]6549
6564.6,H alpha 6563
6585.27,[NII]6585
6679.995,HeI 6680
6718.294,[SII]6717
6732.673,[SII]6732
7067.138,HeI 7065
7137.77,[ArIII]7138
7321.94,[OII]7323
7332.21,[OII]7332
7334.17,[ArIV]7330
7753.19,[ArIII]7753
8581.06,[ClII] 8579
8729.53,[CI]8727
9017.8,Pa 9015
9071.1,[SIII]9071
9126.1,[ClII] 9124
9232.2,Pa 9229
9533.2,[SIII]9533
9548.8,Pa 9546
9852.96,[CI]9850
10052.6,Pa delta 10050
10323.32,[SII]10331
10832.057,HeI 10829
10833.306,HeI 10833
10941.17,Pa gamma 10939
12570.21,[FeII] 1.26m
12821.578,Pa beta 12819
17366.885,Br 17363
18179.2,Br 18175
18756.4,Pa alpha 18752
19450.89,Br delta 19447
21661.178,Br gamma 21657
26258.71,Br beta 26254
30392.02,Pf 30386
32969.8,Pf delta 32964
37405.76,Pf gamma 37398
40522.79,Br alpha 40515
46537.8,Pf beta 46529
51286.5,Hu delta 51277
59082.2,Hu gamma 59071
69852.74,[ArII]7m
74599.0,Pf alpha 74585
75024.4,Hu beta 75011
89913.8,[ArIII]9m
105105.0,[SIV]10.5m
123719.12,Hu alpha 12.4m
128135.48,[NeII]12.8m
143678.0,[ClII] 14.4m
155551.0,[NeIII]15.5m
187130.0,[SIII]18.7m
218302.0,[ArIII]22m
328709.0,[PII] 32m
334800.0,[SIII]33.5m
348140.0,[SiII]35m
360135.0,[NeIII]36m
518145.0,[OIII]52m
573300.0,[NIII]57m
606420.0,[PII] 60m
631852.0,[OI]63m
883564.0,[OIII]88m
1218000.0,[NII]122m
1455350.0,[OI]145m
1576429.62,[CII]157.7m
2053000.0,[NII]205m
3703700.0,[CI]369m
6097000.0,[CI]610m
